County Name,Cases 03-04-2020,Cases 03-05-2020,Cases 03-06-2020,Cases 03-09-2020,Cases 03-10-2020,Cases 03-11-2020,Cases 03-12-2020,Cases 03-13-2020,Cases 03-15-2020,Cases 03-16-2020,Cases 03-17-2020,Cases 03-18-2020,Cases 03-19-2020,Cases 03-20-2020,Cases 03-21-2020,Cases 03-22-2020,Cases 03-23-2020,Cases 03-24-2020,Cases 03-25-2020,Cases 03-26-2020,Cases 03-27-2020,Cases 03-28-2020,Cases 03-29-2020,Cases 03-30-2020,Cases 03-31-2020,Cases 04-01-2020,Cases 04-02-2020,Cases 04-03-2020,Cases 04-04-2020,Cases 04-05-2020,Cases 04-06-2020,Cases 04-07-2020,Cases 04-08-2020,Cases 04-09-2020,Cases 04-10-2020,Cases 04-11-2020,Cases 04-12-2020,Cases 04-13-2020,Cases 04-14-2020,Cases 04-15-2020,Cases 04-16-2020,Cases 04-17-2020,Cases 04-18-2020,Cases 04-19-2020,Cases 04-20-2020,Cases 04-21-2020,Cases 04-22-2020,Cases 04-23-2020,Cases 04-24-2020,Cases 04-25-2020,Cases 04-26-2020,Cases 04-27-2020,Cases 04-28-2020,Cases 04-29-2020,Cases 04-30-2020,Cases 05-01-2020,Cases 05-02-2020,Cases 05-03-2020,Cases 05-04-2020,Cases 05-05-2020,Cases 05-06-2020,Cases 05-07-2020,Cases 05-08-2020,Cases 05-09-2020,Cases 05-10-2020,Cases 05-11-2020,Cases 05-12-2020,Cases 05-13-2020,Cases 05-14-2020,Cases 05-15-2020,Cases 05-16-2020,Cases 05-17-2020,Cases 05-18-2020,Cases 05-19-2020,Cases 05-20-2020,Cases 05-21-2020,Cases 05-22-2020,Cases 05-23-2020,Cases 05-24-2020,Cases 05-25-2020,Cases 05-26-2020,Cases 05-27-2020,Cases 05-28-2020,Cases 05-29-2020,Cases 05-30-2020,Cases 05-31-2020,Cases 06-01-2020,Cases 06-02-2020,Cases 06-03-2020,Cases 06-04-2020,Cases 06-05-2020,Cases 06-06-2020,Cases 06-07-2020,Cases 06-08-2020,Cases 06-09-2020,Cases 06-10-2020,Cases 06-11-2020,Cases 06-12-2020,Cases 06-13-2020,Cases 06-14-2020,Cases 06-15-2020,Cases 06-16-2020,Cases 06-17-2020,Cases 06-18-2020,Cases 06-19-2020,Cases 06-20-2020,Cases 06-21-2020,Cases 06-22-2020,Cases 06-23-2020,Cases 06-24-2020,Cases 06-25-2020,Cases 06-26-2020,Cases 06-27-2020,Cases 06-28-2020,Cases 06-29-2020,Cases 06-30-2020,Cases 07-01-2020,Cases 07-02-2020,Cases 07-03-2020,Cases 07-04-2020,Cases 07-05-2020,Cases 07-06-2020,Cases 07-07-2020,Cases 07-08-2020,Cases 07-09-2020,Cases 07-10-2020,Cases 07-11-2020,Cases 07-12-2020,Cases 07-13-2020,Cases 07-14-2020,Cases 07-15-2020,Cases 07-16-2020,Cases 07-17-2020,Cases 07-18-2020,Cases 07-19-2020,Cases 07-20-2020,Cases 07-21-2020,Cases 07-22-2020,Cases 07-23-2020,Cases 07-24-2020,Cases 07-25-2020,Cases 07-26-2020,Cases 07-27-2020,Cases 07-28-2020,Cases 07-29-2020,Cases 07-30-2020,Cases 07-31-2020,Cases 08-01-2020,Cases 08-02-2020,Cases 08-03-2020,Cases 08-04-2020,Cases 08-05-2020,Cases 08-06-2020,Cases 08-07-2020,Cases 08-08-2020,Cases 08-09-2020,Cases 08-10-2020,Cases 08-11-2020,Cases 08-12-2020,Cases 08-13-2020,Cases 08-14-2020,Cases 08-15-2020,Cases 08-16-2020,Cases 08-17-2020,Cases 08-18-2020,Cases 08-19-2020,Cases 08-20-2020,Cases 08-21-2020,Cases 08-22-2020,Cases 08-23-2020,Cases 08-24-2020,Cases 08-25-2020,Cases 08-26-2020,Cases 08-27-2020,Cases 08-28-2020,Cases 08-29-2020,Cases 08-30-2020,Cases 08-31-2020,Cases 09-01-2020,Cases 09-02-2020,Cases 09-03-2020,Cases 09-04-2020,Cases 09-05-2020,Cases 09-06-2020,Cases 09-07-2020,Cases 09-08-2020,Cases 09-09-2020,Cases 09-10-2020,Cases 09-11-2020,Cases 09-12-2020,Cases 09-13-2020,Cases 09-14-2020,Cases 09-15-2020,Cases 09-16-2020,Cases 09-17-2020,Cases 09-18-2020,Cases 09-19-2020,Cases 09-20-2020,Cases 09-21-2020,Cases 09-22-2020,Cases 09-23-2020,Cases 09-24-2020,Cases 09-25-2020,Cases 09-26-2020,Cases 09-27-2020,Cases 09-28-2020,Cases 09-29-2020,Cases 09-30-2020,Cases 10-01-2020,Cases 10-02-2020,Cases 10-03-2020,Cases 10-04-2020,Cases 10-05-2020,Cases 10-06-2020,Cases 10-07-2020,Cases 10-08-2020,Cases 10-09-2020,Cases 10-10-2020,Cases 10-11-2020,Cases 10-12-2020,Cases 10-13-2020,Cases 10-14-2020,Cases 10-15-2020,Cases 10-16-2020,Cases 10-17-2020,Cases 10-18-2020,Cases 10-19-2020,Cases 10-20-2020,Cases 10-21-2020,Cases 10-22-2020,Cases 10-23-2020,Cases 10-24-2020,Cases 10-25-2020,Cases 10-26-2020,Cases 10-27-2020,Cases 10-28-2020,Cases 10-29-2020,Cases 10-30-2020,Cases 10-31-2020,Cases 11-01-2020,Cases 11-02-2020,Cases 11-03-2020,Cases 11-04-2020,Cases 11-05-2020,Cases 11-06-2020,Cases 11-07-2020,Cases 11-08-2020,Cases 11-09-2020,Cases 11-10-2020,Cases 11-11-2020,Cases 11-12-2020,Cases 11-13-2020,Cases 11-14-2020,Cases 11-15-2020,Cases 11-16-2020,Cases 11-17-2020,Cases 11-18-2020,Cases 11-19-2020,Cases 11-20-2020,Cases 11-21-2020,Cases 11-22-2020,Cases 11-23-2020,Cases 11-24-2020,Cases 11-25-2020,Cases 11-26-2020,Cases 11-27-2020,Cases 11-28-2020,Cases 11-29-2020,Cases 11-30-2020,Cases 12-01-2020,Cases 12-02-2020,Cases 12-03-2020,Cases 12-04-2020,Cases 12-05-2020,Cases 12-06-2020,Cases 12-07-2020,Cases 12-08-2020,Cases 12-09-2020,Cases 12-10-2020,Cases 12-11-2020,Cases 12-12-2020,Cases 12-13-2020,Cases 12-14-2020,Cases 12-15-2020,Cases 12-16-2020,Cases 12-17-2020,Cases 12-18-2020,Cases 12-19-2020,Cases 12-20-2020,Cases 12-21-2020,Cases 12-22-2020,Cases 12-23-2020,Cases 12-24-2020,Cases 12-25-2020,Cases 12-26-2020,Cases 12-27-2020,Cases 12-28-2020,Cases 12-29-2020,Cases 12-30-2020,Cases 12-31-2020,Cases 01-01-2021,Cases 01-02-2021,Cases 01-03-2021,Cases 01-04-2021,Cases 01-05-2021,Cases 01-06-2021,Cases 01-07-2021,Cases 01-08-2021,Cases 01-09-2021,Cases 01-10-2021,Cases 01-11-2021,Cases 01-12-2021,Cases 01-13-2021,Cases 01-14-2021,Cases 01-15-2021,Cases 01-16-2021,Cases 01-17-2021,Cases 01-18-2021,Cases 01-19-2021,Cases 01-20-2021,Cases 01-21-2021,Cases 01-22-2021,Cases 01-23-2021,Cases 01-24-2021,Cases 01-25-2021,Cases 01-26-2021,Cases 01-27-2021,Cases 01-28-2021,Cases 01-29-2021,Cases 01-30-2021,Cases 01-31-2021,Cases 02-01-2021,Cases 02-02-2021,Cases 02-03-2021,Cases 02-04-2021,Cases 02-05-2021,Cases 02-06-2021,Cases 02-07-2021,Cases 02-08-2021,Cases 02-09-2021,Cases 02-10-2021,Cases 02-11-2021,Cases 02-12-2021,Cases 02-13-2021,Cases 02-14-2021,Cases 02-15-2021,Cases 02-16-2021,Cases 02-17-2021,Cases 02-18-2021,Cases 02-19-2021,Cases 02-20-2021,Cases 02-21-2021,Cases 02-22-2021,Cases 02-23-2021,Cases 02-24-2021,Cases 02-25-2021,Cases 02-26-2021,Cases 02-27-2021,Cases 02-28-2021,Cases 03-01-2021,Cases 03-02-2021,Cases 03-03-2021,Cases 03-04-2021,Cases 03-05-2021,Cases 03-06-2021,Cases 03-07-2021,Cases 03-08-2021,Cases 03-09-2021,Cases 03-10-2021,Cases 03-11-2021,Cases 03-12-2021,Cases 03-13-2021,Cases 03-14-2021,Cases 03-15-2021,Cases 03-16-2021
Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,6,6,6,8,8,10,14,14,16,16,18,19,23,23,29,30,32,32,32,34,38,40,41,41,41,41,50,50,51,52,54,54,54,60,61,63,64,66,66,66,66,66,66,72,72,72,72,76,78,85,87,85,85,85,91,91,95,95,102,102,102,989,990,1003,1007,1006,1006,1006,1009,1013,1014,1017,1017,1016,1016,1032,1040,1063,1072,1070,1082,1082,1108,1152,1533,1761,1796,1796,1890,1917,1944,1956,2003,2017,2017,2015,2051,2062,2077,2116,2140,2140,2142,2162,2172,2174,2196,2209,2209,2307,2329,2355,2353,2379,2402,2402,2403,2406,2428,2437,2435,2434,2434,2434,2438,2423,2416,2417,2425,2425,2431,2449,2453,2482,2495,2502,2502,2502,2520,2527,2519,2538,2554,2556,2556,2694,2744,2776,2760,2763,2763,2762,2776,2799,2812,1744,1741,1741,2792,2801,2822,2825,2832,2840,2840,2840,2824,2832,2844,2829,2821,2821,2859,2836,2849,2858,2872,2868,2868,2879,2892,2885,2903,2906,2909,2909,2909,2920,2922,2934,2935,2941,2941,2946,2949,2961,2970,2970,2979,2979,2979,2987,2981,3011,3008,3018,3021,3021,3028,3035,3045,3041,3045,3051,3051,3065,3095,3101,3092,3127,3127,3118,3143,3150,3171,3172,3167,3167,3167,3190,3198,3211,3217,3223,3223,3223,3248,3250,3246,3244,3283,3283,3283,3297,3321,3420,3428,3444,3444,3444,3468,3478,3506,3500,3500,3500,3500,3693,3688,3693,3950,3950,3950,3950,4367,4472,4471,4471,4485,4508,4508,4445,4520,4467,4484,4485,4511,4511,4511,4582,4573,4570,4587,4587,4587,4595,4596,4628,4634,4632,4644,4644,4737,4747,4746,4763,4765,4765,4767,4765,4757,4753,4766,4764,4767,4767,4767,4778,4778,4778,4778,4779,4779,4780,4784,4779,4799,4807,4807,4807,4798,4801,4800,4807,4805,4805,4805,4808,4809,4802,4803,4812,4813,4813,4812
Andrews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,10,10,10,11,11,11,12,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,30,30,33,35,42,44,44,44,46,51,56,63,73,73,75,82,89,90,98,103,103,103,120,132,132,155,169,169,170,174,176,181,187,189,189,198,212,215,219,225,225,228,232,238,253,255,255,266,267,268,273,277,279,297,297,304,304,304,316,338,338,338,338,346,346,350,355,356,356,356,356,357,362,362,362,362,367,368,374,377,386,388,388,388,388,388,394,400,400,400,400,400,406,410,412,412,412,412,412,415,415,425,425,425,425,425,425,425,452,457,457,457,466,477,477,488,510,510,510,518,518,518,547,547,547,547,549,567,567,567,584,584,584,628,628,655,667,667,667,667,667,689,726,741,741,741,741,781,781,781,826,859,859,859,896,926,940,940,977,977,977,977,1018,1018,1018,1018,1018,1018,1066,1087,1097,1097,1135,1135,1135,1135,1155,1155,1155,1189,1189,1189,1237,1271,1271,1308,1308,1308,1330,1330,1361,1361,1361,1361,1361,1361,1361,1405,1416,1433,1433,1433,1433,1438,1438,1486,1486,1523,1523,1523,1558,1558,1558,1558,1606,1606,1606,1606,1606,1619,1624,1630,1630,1630,1630,1630,1630,1649,1649,1649,1649,1655,1655,1672,1672,1672,1672,1672,1672,1678,1678,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1694,1694,1694,1694,1694,1694,1695,1695,1695,1695,1695,1701,1701,1701,1710,1710,1710,1710
Angelina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,5,8,10,10,14,14,14,15,16,16,16,16,17,17,20,23,23,23,23,27,30,31,33,36,36,36,46,49,53,54,55,55,55,79,86,93,100,100,100,100,117,117,119,131,139,139,139,154,154,168,172,175,175,175,175,193,201,203,205,205,205,215,232,232,232,237,237,237,237,281,281,309,309,309,309,331,352,352,366,380,380,380,415,426,445,464,464,464,464,476,507,519,541,541,541,541,610,610,645,683,743,743,743,834,834,940,1000,1000,1000,1000,1000,1234,1234,1383,1405,1405,1405,1487,1566,1606,1606,1647,1647,1647,1745,1755,1769,1796,1796,1796,1796,1828,1869,1869,1898,1906,1906,1906,1930,1930,1953,1953,1953,1964,1964,1968,1968,1968,2002,2002,2002,2005,2013,2013,2013,2013,2013,2013,2013,2013,2045,2045,2072,2072,2072,2072,2072,2072,2094,2113,2113,2113,2113,2120,2120,2120,2144,2144,2144,2144,2153,2163,2163,2189,2189,2189,2189,2205,2205,2205,2205,2214,2214,2214,2221,2221,2221,2251,2251,2251,2251,2251,2277,2277,2277,2277,2277,2277,2304,2304,2317,2317,2317,2317,2317,2326,2326,2343,2343,2343,2343,2343,2369,2380,2405,2405,2405,2405,2439,2446,2446,2497,2515,2515,2515,2515,2555,2587,2587,2587,2587,2587,2587,2641,2641,2660,2715,2715,2715,2715,2808,2808,2887,2887,2887,3022,3022,3045,3089,3094,3094,3204,3204,3204,3248,3248,3287,3351,3351,3351,3351,3351,3452,3532,3622,3622,3622,3622,3692,3692,3692,3790,3851,3851,3851,3851,3851,4012,4012,4012,4012,4012,4129,4129,4129,4169,4169,4169,4169,4169,4169,4286,4286,4286,4286,4286,4398,4398,4398,4467,4467,4467,4467,4467,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4506,4564,4564,4564,4564,4621,4621,4621,4666,4666,4666,4666,4666,4666,4666,4666,4697,4697,4697,4697,4697,4697,4697
Aransas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,10,10,10,12,16,17,20,23,24,28,31,34,35,43,44,46,49,50,50,55,56,57,65,75,81,85,91,92,106,111,114,116,123,126,131,135,136,149,153,153,157,158,158,162,165,169,172,173,177,182,183,183,186,186,187,187,190,190,190,194,197,197,198,198,198,198,208,208,210,212,212,217,215,293,295,295,298,298,298,299,299,302,302,302,302,307,308,310,316,316,319,320,320,322,322,323,323,323,323,323,323,323,335,335,335,335,335,335,335,335,335,335,340,340,340,340,341,341,341,340,340,340,345,346,348,348,349,350,350,351,351,351,351,351,351,360,360,360,363,363,366,369,369,373,373,374,374,375,376,376,376,376,393,393,398,402,404,404,407,416,416,438,439,446,449,450,457,457,464,466,469,474,474,479,479,485,492,500,501,503,515,515,518,531,531,536,536,544,544,545,551,559,563,563,569,569,577,579,589,596,598,607,607,615,628,636,652,654,665,665,666,678,681,681,690,695,695,697,704,709,721,737,741,741,760,764,774,786,797,807,807,808,813,818,824,828,831,831,837,839,840,840,840,842,842,842,845,849,849,850,857,857,868,869,869,873,874,875,875,878,879,881,881,882,883,883,883
Archer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,7,7,8,8,8,8,8,10,11,11,10,10,10,10,12,12,12,12,12,12,12,13,13,13,13,15,15,15,15,15,17,17,20,20,20,20,20,21,21,21,21,21,27,28,29,31,33,33,33,33,33,33,36,39,39,39,40,42,46,48,49,49,49,53,53,56,58,60,60,60,60,63,64,67,67,67,67,68,68,67,69,69,69,69,79,79,82,85,87,87,87,87,87,87,87,88,88,88,88,89,89,98,98,98,98,101,103,105,106,114,114,114,114,133,133,136,137,137,137,142,154,160,161,165,165,165,170,170,171,171,171,171,171,181,187,187,191,197,197,197,207,209,220,227,231,231,231,244,248,251,251,251,260,260,260,276,295,294,303,303,303,327,327,334,342,350,350,350,375,380,385,395,399,399,399,431,435,437,437,437,459,459,473,478,489,498,498,498,498,536,544,565,573,574,574,574,599,602,605,612,617,617,617,617,626,634,642,645,645,645,650,650,651,653,655,655,655,657,657,660,661,661,661,661,661,664,670,670,670,670,670,670,670,670,670,670,670,670,671,672,672,672,675,675,675,675,676,677,677,678,678,678,678,678,678,678,679,679,679,679
Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,8,8,8,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,17,17,17,17,17,18,18,18,18,18,18,18,21,22,23,24,24,24,27,27,27,27,27,27,27,28,29,29,29,31,31,31,32,33,33,37,37,37,37,37,37,38,39,42,42,42,47,47,48,48,50,50,50,53,55,55,56,58,58,58,61,62,63,63,63,63,63,69,69,69,69,69,69,69,71,71,71,71,71,71,71,71,72,72,77,77,77,77,78,79,80,81,82,82,82,82,83,83,85,85,85,85,86,90,90,93,97,97,97,97,98,98,98,98,98,98,99,99,100,100,101,101,101,101,106,106,106,106,106,106,106,106,106,106,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,109,109,109,109,109,109
Atascosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,7,8,9,9,9,9,9,9,10,10,12,14,14,14,14,14,14,14,16,16,19,19,19,19,19,19,21,22,22,22,22,24,27,27,27,30,30,30,30,32,32,35,35,35,35,35,35,35,35,35,35,37,37,37,37,38,41,41,42,42,42,45,43,43,42,42,42,42,42,45,62,69,70,70,79,84,87,85,87,90,90,106,108,116,116,135,135,135,148,152,188,197,207,275,275,275,289,292,300,355,355,355,370,379,390,391,393,393,393,396,396,405,405,405,405,405,413,419,425,434,437,437,437,456,487,499,509,517,517,517,519,523,519,526,544,544,544,551,558,559,565,568,568,568,569,572,576,576,576,576,576,576,586,596,603,615,615,615,615,621,623,626,627,627,1149,1150,1154,1154,1153,1144,1144,1234,1146,1147,1165,1166,1166,1166,1245,1244,1240,1237,1238,1237,1237,1252,1251,1254,1254,1252,1254,1254,1257,1257,1265,1268,1268,1270,1270,1284,1282,1285,1292,1292,1287,1287,1289,1291,1292,1294,1298,1300,1300,1330,1335,1338,1338,1349,1375,1375,1375,1385,1415,1416,1418,1417,1417,1417,1428,1490,1493,1493,1493,1493,1494,1503,1647,1641,1670,1673,1673,1673,1681,1749,1748,1751,1785,1785,1786,1801,1950,1952,2029,2031,2031,2031,2035,2206,2206,2206,2206,2206,2206,2209,2210,2219,2219,2219,2219,2219,2452,2457,2608,2644,2666,2666,2666,2662,2855,2855,2886,2951,2951,2951,2951,3039,3185,3187,3267,3267,3267,3267,3278,3425,3426,3564,3564,3564,3577,3651,3666,3692,3741,3741,3741,3793,3850,3849,3860,3878,3878,3878,3878,3878,3878,3889,3889,3889,3889,4013,4015,4034,4043,4043,4045,4045,4055,4061,4067,4069,4083,4083,4083,4085,4086,4085,4103,4106,4106,4106,4109
Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,4,4,4,5,5,6,7,7,8,8,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,15,15,15,15,15,16,17,19,19,19,20,20,21,21,21,22,22,22,24,24,25,25,26,27,27,27,27,29,29,29,29,32,31,31,33,34,34,34,36,37,42,42,43,45,48,56,57,57,60,61,67,69,71,72,73,77,81,81,92,100,105,117,124,128,130,134,140,141,144,150,155,157,160,165,169,170,170,181,182,193,202,209,211,212,213,213,213,216,218,223,230,230,242,249,269,287,297,315,328,331,332,335,344,352,368,371,391,398,398,401,401,401,413,417,417,418,419,419,434,440,441,442,443,444,452,456,460,460,460,460,467,481,483,484,491,491,483,485,488,497,499,499,499,499,497,499,499,498,502,502,502,503,503,504,503,503,504,503,504,506,507,507,507,507,508,509,509,510,513,514,514,514,514,514,516,517,521,523,522,523,523,523,524,525,525,534,533,538,539,539,544,544,546,546,552,554,558,562,571,579,590,592,600,604,617,632,643,643,657,662,668,682,690,704,702,699,709,713,721,727,730,744,755,765,777,791,797,815,832,848,856,865,891,903,903,921,928,934,946,968,1007,1020,1033,1044,1049,1067,1087,1106,1124,1155,1164,1182,1191,1209,1224,1243,1270,1270,1279,1292,1310,1310,1322,1324,1331,1341,1358,1373,1373,1397,1404,1408,1413,1430,1433,1439,1439,1452,1453,1467,1474,1485,1490,1496,1503,1510,1511,1511,1515,1515,1514,1522,1524,1530,1531,1534,1539,1544,1555,1556,1566,1574,1582,1582,1590,1593,1596,1601,1607,1613,1614,1617
Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,6,6,8,10,10,10,10,10,10,10,10,14,14,16,17,17,17,17,19,19,24,26,26,26,26,28,29,30,34,34,34,40,52,83,83,83,83,86,88,86,87,88,93,93,93,94,100,101,102,102,102,102,108,109,111,112,112,112,112,112,112,117,119,120,120,125,126,126,128,130,132,132,132,141,148,151,156,158,158,158,159,166,168,170,171,171,171,175,179,180,183,187,187,187,195,195,196,196,196,196,196,198,199,199,202,202,202,202,202,202,202,203,203,203,203,203,203,203,203,204,204,204,204,205,207,206,206,206,206,210,214,217,217,219,219,219,224,226,226,228,228,228,228,232,231,235,238,241,244,244,243,246,251,256,260,264,264,264,264,271,276,280,280,280,296,296,296,311,311,311,311,314,327,334,334,359,359,359,378,385,385,407,408,408,409,422,422,434,439,454,454,454,455,455,470,470,471,471,471,476,486,492,496,503,503,506,510,512,512,523,526,526,526,527,527,529,530,530,530,530,535,538,538,538,538,538,538,539,540,541,543,543,543,543,545,547,548,550,550,550,550,552,552,554,555,556,556,556,557,557,557,560,560,560,560,561,562,562,562,563,563,563,563,563,561,561,562,562,562,564,572,572,572,573,573,573,573,573,573,573,575,575,575,578,580,581,581,581,581,581,582,581,582,584,584,584,584,585,585,594,595,595,595,595,595
Bandera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,13,15,15,15,16,15,15,16,16,16,16,16,21,22,23,27,27,27,27,27,33,38,44,44,44,44,46,47,47,47,48,48,51,54,56,66,71,71,71,78,79,83,83,83,83,83,83,89,89,89,91,91,91,92,93,95,98,100,100,100,100,102,103,105,106,106,106,106,106,106,109,109,109,109,109,109,109,109,109,109,109,109,109,110,112,113,113,113,113,114,112,112,112,112,153,153,158,158,158,157,157,176,159,160,160,160,160,160,177,177,176,176,175,177,177,179,179,178,178,178,178,178,183,183,184,185,185,185,185,185,185,185,185,188,190,190,190,192,193,196,197,197,197,202,205,205,205,205,208,208,208,211,215,215,219,223,223,223,223,232,232,232,232,232,232,237,279,280,281,284,284,284,286,309,310,314,316,316,316,318,340,340,360,368,368,368,378,412,412,425,425,425,425,425,429,429,430,430,430,430,506,528,561,572,585,585,585,588,626,626,633,643,643,643,643,666,699,699,708,708,708,710,711,752,752,788,788,788,793,837,846,853,861,861,861,872,882,882,889,894,894,894,894,894,894,894,894,894,894,908,908,911,911,911,912,912,913,915,918,918,920,920,921,922,922,922,923,926,926,926,926
